Record_Number,Listing_ID,Property_Title,Property_Type,Configuration,Price_2025_INR,Price_in_Lakhs_INR,Area_sqft,Bedrooms,Bathrooms,Price_per_Sqft,Locality,City,Zone,Builder_Owner,Construction_Status,RERA_Status,Facing,Furnishing,Price_2016_INR,Price_2017_INR,Price_2018_INR,Price_2019_INR,Price_2020_INR,Price_2021_INR,Price_2022_INR,Price_2023_INR,Price_2024_INR
1,1786023688-1,Prestige Group Grand Greens,2 BHK Flat,2 BHK,9350000.0,93.5,1154.0,2,2,8102.0,Whitefield,Bangalore,South,Prestige Group,Ready To Move,Yes,East,Unfurnished,5610000.0,6077500.0,6545000.0,7012500.0,7480000.0,7947500.0,8415000.0,8882500.0,9163000.0
2,1786023688-2,DLF Limited Emerald Estate,3 BHK Flat,3 BHK,13850000.0,138.5,1498.0,3,3,9246.0,Koramangala,Bangalore,North,DLF Limited,Ready To Move,Yes,North-East,Semi-Furnished,8310000.0,9002500.0,9695000.0,10387500.0,11080000.0,11772500.0,12465000.0,13157500.0,13573000.0
3,1786023688-3,Godrej Properties Serene Heights,4 BHK Flat,4 BHK,17980000.0,179.8,1882.0,4,4,9554.0,Indiranagar,Bangalore,South,Godrej Properties,Ready To Move,Yes,North,Fully-Furnished,10788000.0,11687000.0,12586000.0,13485000.0,14384000.0,15283000.0,16182000.0,17081000.0,17620400.0
4,1786023688-4,Sobha Limited Skyline Villas,5 BHK Villa,5 BHK,18740000.0,187.4,2362.0,5,4,7934.0,HSR Layout,Bangalore,West,Sobha Limited,Ready To Move,Yes,North,Fully-Furnished,11244000.0,12181000.0,13118000.0,14055000.0,14992000.0,15929000.0,16866000.0,17803000.0,18365200.0
5,1786023688-5,Oberoi Realty Imperia Towers,1 BHK Flat,1 BHK,3770000.0,37.7,551.0,1,1,6842.0,Electronic City,Bangalore,South,Oberoi Realty,Ready To Move,Yes,East,Unfurnished,2262000.0,2450500.0,2639000.0,2827500.0,3016000.0,3204500.0,3393000.0,3581500.0,3694600.0
6,1786023688-6,Hiranandani Group Elegance Park,2 BHK Flat,2 BHK,8190000.0,81.9,1158.0,2,2,7073.0,Hebbal,Bangalore,Central,Hiranandani Group,Under Construction,Yes,North,Unfurnished,4914000.0,5323500.0,5733000.0,6142500.0,6552000.0,6961500.0,7371000.0,7780500.0,8026200.0
7,1786023688-7,Lodha Group Urban Court,3 BHK Flat,3 BHK,12740000.0,127.4,1482.0,3,3,8596.0,Yelahanka,Bangalore,West,Lodha Group,Ready To Move,Yes,East,Unfurnished,7644000.0,8281000.0,8918000.0,9555000.0,10192000.0,10829000.0,11466000.0,12103000.0,12485200.0
8,1786023688-8,Aparna Constructions Central Gardens,4 BHK Flat,4 BHK,14960000.0,149.6,2028.0,4,4,7377.0,Sarjapur Road,Bangalore,North,Aparna Constructions,Under Construction,Yes,West,Semi-Furnished,8976000.0,9724000.0,10472000.0,11220000.0,11968000.0,12716000.0,13464000.0,14212000.0,14660800.0
9,1786023688-9,Brigade Group Valley Haven,5 BHK Villa,5 BHK,19780000.0,197.8,2455.0,5,4,8057.0,Bellandur,Bangalore,West,Brigade Group,Ready To Move,Yes,North,Fully-Furnished,11868000.0,12857000.0,13846000.0,14835000.0,15824000.0,16813000.0,17802000.0,18791000.0,19384400.0
10,1786023688-10,Puravankara Heights Enclave,1 BHK Flat,1 BHK,4470000.0,44.7,655.0,1,1,6824.0,Thanisandra,Bangalore,South,Puravankara,Under Construction,Yes,West,Unfurnished,2682000.0,2905500.0,3129000.0,3352500.0,3576000.0,3799500.0,4023000.0,4246500.0,4380600.0
11,1786023688-11,Rustomjee Palms Square,2 BHK Flat,2 BHK,9960000.0,99.6,1158.0,2,2,8601.0,Marathahalli,Bangalore,Central,Rustomjee,Ready To Move,Yes,North-East,Semi-Furnished,5976000.0,6474000.0,6972000.0,7470000.0,7968000.0,8466000.0,8964000.0,9462000.0,9760800.0
12,1786023688-12,Tata Housing Vista Plaza,3 BHK Flat,3 BHK,14620000.0,146.2,1443.0,3,3,10132.0,Jayanagar,Bangalore,East,Tata Housing,Ready To Move,Yes,North-East,Fully-Furnished,8772000.0,9503000.0,10234000.0,10965000.0,11696000.0,12427000.0,13158000.0,13889000.0,14327600.0
13,1786023688-13,Mahindra Lifespaces Avenue Terraces,4 BHK Flat,4 BHK,18450000.0,184.5,2009.0,4,4,9184.0,Rajajinagar,Bangalore,East,Mahindra Lifespaces,Ready To Move,Yes,West,Semi-Furnished,11070000.0,11992500.0,12915000.0,13837500.0,14760000.0,15682500.0,16605000.0,17527500.0,18081000.0
14,1786023688-14,Casagrand Oasis Residences,5 BHK Villa,5 BHK,19190000.0,191.9,2355.0,5,4,8149.0,Banashankari,Bangalore,East,Casagrand,Ready To Move,Yes,North,Semi-Furnished,11514000.0,12473500.0,13433000.0,14392500.0,15352000.0,16311500.0,17271000.0,18230500.0,18806200.0
15,1786023688-15,Kolte-Patil Solitaire Greens,1 BHK Flat,1 BHK,4950000.0,49.5,501.0,1,1,9880.0,Malleshwaram,Bangalore,East,Kolte-Patil,Ready To Move,Yes,West,Semi-Furnished,2970000.0,3217500.0,3465000.0,3712500.0,3960000.0,4207500.0,4455000.0,4702500.0,4851000.0
16,1786023688-16,Piramal Realty Signature Estate,2 BHK Flat,2 BHK,10790000.0,107.9,1199.0,2,2,8999.0,Kaggadasapura,Bangalore,West,Piramal Realty,Ready To Move,Yes,North,Unfurnished,6474000.0,7013500.0,7553000.0,8092500.0,8632000.0,9171500.0,9711000.0,10250500.0,10574200.0
17,1786023688-17,Prestige Group Crown Heights,3 BHK Flat,3 BHK,10610000.0,106.1,1509.0,3,3,7031.0,BTM Layout,Bangalore,Central,Prestige Group,Under Construction,Yes,East,Semi-Furnished,6366000.0,6896500.0,7427000.0,7957500.0,8488000.0,9018500.0,9549000.0,10079500.0,10397800.0
18,1786023688-18,DLF Limited Royal Villas,4 BHK Flat,4 BHK,15390000.0,153.9,1934.0,4,4,7958.0,JP Nagar,Bangalore,West,DLF Limited,Under Construction,Yes,North,Semi-Furnished,9234000.0,10003500.0,10773000.0,11542500.0,12312000.0,13081500.0,13851000.0,14620500.0,15082200.0
19,1786023688-19,Godrej Properties Grand Towers,5 BHK Villa,5 BHK,20550000.0,205.5,2399.0,5,4,8566.0,C V Raman Nagar,Bangalore,West,Godrej Properties,Ready To Move,Yes,West,Fully-Furnished,12330000.0,13357500.0,14385000.0,15412500.0,16440000.0,17467500.0,18495000.0,19522500.0,20139000.0
20,1786023688-20,Sobha Limited Emerald Park,1 BHK Flat,1 BHK,5390000.0,53.9,615.0,1,1,8764.0,Varthur,Bangalore,North,Sobha Limited,Under Construction,Yes,North-East,Unfurnished,3234000.0,3503500.0,3773000.0,4042500.0,4312000.0,4581500.0,4851000.0,5120500.0,5282200.0
21,1786023688-21,Oberoi Realty Serene Court,2 BHK Flat,2 BHK,8520000.0,85.2,1190.0,2,2,7160.0,Whitefield,Bangalore,North,Oberoi Realty,Under Construction,Yes,East,Semi-Furnished,5112000.0,5538000.0,5964000.0,6390000.0,6816000.0,7242000.0,7668000.0,8094000.0,8349600.0
22,1786023688-22,Hiranandani Group Skyline Gardens,3 BHK Flat,3 BHK,14570000.0,145.7,1479.0,3,3,9851.0,Koramangala,Bangalore,Central,Hiranandani Group,Ready To Move,Yes,North-East,Fully-Furnished,8742000.0,9470500.0,10199000.0,10927500.0,11656000.0,12384500.0,13113000.0,13841500.0,14278600.0
23,1786023688-23,Lodha Group Imperia Haven,4 BHK Flat,4 BHK,14460000.0,144.6,1872.0,4,4,7724.0,Indiranagar,Bangalore,West,Lodha Group,Ready To Move,Yes,North,Semi-Furnished,8676000.0,9399000.0,10122000.0,10845000.0,11568000.0,12291000.0,13014000.0,13737000.0,14170800.0
24,1786023688-24,Aparna Constructions Elegance Enclave,5 BHK Villa,5 BHK,17520000.0,175.2,2342.0,5,4,7481.0,HSR Layout,Bangalore,South,Aparna Constructions,Under Construction,Yes,East,Semi-Furnished,10512000.0,11388000.0,12264000.0,13140000.0,14016000.0,14892000.0,15768000.0,16644000.0,17169600.0
25,1786023688-25,Brigade Group Urban Square,1 BHK Flat,1 BHK,4470000.0,44.7,560.0,1,1,7982.0,Electronic City,Bangalore,North,Brigade Group,Ready To Move,Yes,East,Fully-Furnished,2682000.0,2905500.0,3129000.0,3352500.0,3576000.0,3799500.0,4023000.0,4246500.0,4380600.0
26,1786023688-26,Puravankara Central Plaza,2 BHK Flat,2 BHK,8870000.0,88.7,1052.0,2,2,8432.0,Hebbal,Bangalore,East,Puravankara,Under Construction,Yes,East,Fully-Furnished,5322000.0,5765500.0,6209000.0,6652500.0,7096000.0,7539500.0,7983000.0,8426500.0,8692600.0
27,1786023688-27,Rustomjee Valley Terraces,3 BHK Flat,3 BHK,13220000.0,132.2,1600.0,3,3,8262.0,Yelahanka,Bangalore,South,Rustomjee,Under Construction,Yes,North-East,Semi-Furnished,7932000.0,8593000.0,9254000.0,9915000.0,10576000.0,11237000.0,11898000.0,12559000.0,12955600.0
28,1786023688-28,Tata Housing Heights Residences,4 BHK Flat,4 BHK,15670000.0,156.7,1914.0,4,4,8187.0,Sarjapur Road,Bangalore,West,Tata Housing,Under Construction,Yes,West,Semi-Furnished,9402000.0,10185500.0,10969000.0,11752500.0,12536000.0,13319500.0,14103000.0,14886500.0,15356600.0
29,1786023688-29,Mahindra Lifespaces Palms Greens,5 BHK Villa,5 BHK,22450000.0,224.5,2307.0,5,4,9731.0,Bellandur,Bangalore,North,Mahindra Lifespaces,Under Construction,Yes,West,Semi-Furnished,13470000.0,14592500.0,15715000.0,16837500.0,17960000.0,19082500.0,20205000.0,21327500.0,22001000.0
30,1786023688-30,Casagrand Vista Estate,1 BHK Flat,1 BHK,4250000.0,42.5,502.0,1,1,8466.0,Thanisandra,Bangalore,East,Casagrand,Ready To Move,Yes,East,Fully-Furnished,2550000.0,2762500.0,2975000.0,3187500.0,3400000.0,3612500.0,3825000.0,4037500.0,4165000.0
31,1786023688-31,Kolte-Patil Avenue Heights,2 BHK Flat,2 BHK,10210000.0,102.1,1016.0,2,2,10049.0,Marathahalli,Bangalore,South,Kolte-Patil,Ready To Move,Yes,West,Semi-Furnished,6126000.0,6636500.0,7147000.0,7657500.0,8168000.0,8678500.0,9189000.0,9699500.0,10005800.0
32,1786023688-32,Piramal Realty Oasis Villas,3 BHK Flat,3 BHK,12590000.0,125.9,1466.0,3,3,8588.0,Jayanagar,Bangalore,West,Piramal Realty,Under Construction,Yes,East,Fully-Furnished,7554000.0,8183500.0,8813000.0,9442500.0,10072000.0,10701500.0,11331000.0,11960500.0,12338200.0
33,1786023688-33,Prestige Group Solitaire Towers,4 BHK Flat,4 BHK,15450000.0,154.5,2019.0,4,4,7652.0,Rajajinagar,Bangalore,Central,Prestige Group,Under Construction,Yes,East,Unfurnished,9270000.0,10042500.0,10815000.0,11587500.0,12360000.0,13132500.0,13905000.0,14677500.0,15141000.0
