Record Number,Listing ID,Property URL,Property Title,Listing Title,Property Type,Configuration,Bedrooms,Bathrooms,Price,Price Range (4 BHK),Price Range (5 BHK),Area,Area Type,Locality,City,Zone,Address,Postal Code,Project Name,Builder / Owner,Seller Type,Brokerage Type,Construction Status,RERA Status,Listing Age,Floor,Total Floors,Parking,Facing,Furnishing,Price / Sqft,Amenities,Special Features,Description,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Images URL,Source Search URL,Source Page URL,Source Row,Estimated Market Price 2016 (₹),Estimated Market Price 2017 (₹),Estimated Market Price 2018 (₹),Estimated Market Price 2019 (₹),Estimated Market Price 2020 (₹),Estimated Market Price 2021 (₹),Estimated Market Price 2022 (₹),Estimated Market Price 2023 (₹),Estimated Market Price 2024 (₹),Estimated Market Price 2025 (₹)
1,1786023688-1,N/A,Prestige Group Grand Greens,"2 BHK Flat in Whitefield, Bangalore",2 BHK Flat,2 BHK,2,2,₹93.5 Lac,N/A,N/A,1154 sqft,Plot Area,Whitefield,Bangalore,South,"Whitefield, Bangalore",400001,Prestige Group Grand Greens,Prestige Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,2d ago,2,6,1 Covered,East,Unfurnished,₹8102 /sqft,"Elevator, Swimming Pool, Jogging Track, Parking, Garden, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Whitefield, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,1,5610000,6077500,6545000,7012500,7480000,7947500,8415000,8882500,9163000,9350000
2,1786023688-2,N/A,DLF Limited Emerald Estate,"3 BHK Flat in Koramangala, Bangalore",3 BHK Flat,3 BHK,3,3,₹138.5 Lac,N/A,N/A,1498 sqft,Plot Area,Koramangala,Bangalore,North,"Koramangala, Bangalore",400002,DLF Limited Emerald Estate,DLF Limited,Verified Partner,Zero Brokerage,Ready To Move,Yes,3d ago,3,7,1 Covered,North-East,Semi-Furnished,₹9246 /sqft,"Security, Swimming Pool, Elevator, Gymnasium, Parking, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Koramangala, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,2,8310000,9002500,9695000,10387500,11080000,11772500,12465000,13157500,13573000,13850000
3,1786023688-3,N/A,Godrej Properties Serene Heights,"4 BHK Flat in Indiranagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹179.8 Lac,N/A,N/A,1882 sqft,Super Built-up Area,Indiranagar,Bangalore,South,"Indiranagar, Bangalore",400003,Godrej Properties Serene Heights,Godrej Properties,Verified Partner,Zero Brokerage,Ready To Move,Yes,4d ago,4,8,1 Covered,North,Fully-Furnished,₹9554 /sqft,"Tennis Court, Jogging Track, Power Backup, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Indiranagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,3,10788000,11687000,12586000,13485000,14384000,15283000,16182000,17081000,17620400,17980000
4,1786023688-4,N/A,Sobha Limited Skyline Villas,"5 BHK Flat in HSR Layout, Bangalore",5 BHK Villa,5 BHK,5,4,₹187.4 Lac,N/A,N/A,2362 sqft,Plot Area,HSR Layout,Bangalore,West,"HSR Layout, Bangalore",400004,Sobha Limited Skyline Villas,Sobha Limited,Verified Partner,Zero Brokerage,Ready To Move,Yes,5d ago,5,9,1 Covered,North,Fully-Furnished,₹7934 /sqft,"Clubhouse, Swimming Pool, Tennis Court, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in HSR Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,4,11244000,12181000,13118000,14055000,14992000,15929000,16866000,17803000,18365200,18740000
5,1786023688-5,N/A,Oberoi Realty Imperia Towers,"1 BHK Flat in Electronic City, Bangalore",1 BHK Flat,1 BHK,1,1,₹37.7 Lac,N/A,N/A,551 sqft,Carpet Area,Electronic City,Bangalore,South,"Electronic City, Bangalore",400005,Oberoi Realty Imperia Towers,Oberoi Realty,Verified Partner,Zero Brokerage,Ready To Move,Yes,6d ago,6,10,1 Covered,East,Unfurnished,₹6842 /sqft,"Swimming Pool, Clubhouse, Security, Parking, Power Backup, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Electronic City, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,5,2262000,2450500,2639000,2827500,3016000,3204500,3393000,3581500,3694600,3770000
6,1786023688-6,N/A,Hiranandani Group Elegance Park,"2 BHK Flat in Hebbal, Bangalore",2 BHK Flat,2 BHK,2,2,₹81.9 Lac,N/A,N/A,1158 sqft,Built-up Area,Hebbal,Bangalore,Central,"Hebbal, Bangalore",400006,Hiranandani Group Elegance Park,Hiranandani Group,Verified Partner,Zero Brokerage,Under Construction,Yes,7d ago,7,11,1 Covered,North,Unfurnished,₹7073 /sqft,"Security, Power Backup, Clubhouse, Garden, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Hebbal, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,6,4914000,5323500,5733000,6142500,6552000,6961500,7371000,7780500,8026200,8190000
7,1786023688-7,N/A,Lodha Group Urban Court,"3 BHK Flat in Yelahanka, Bangalore",3 BHK Flat,3 BHK,3,3,₹127.4 Lac,N/A,N/A,1482 sqft,Plot Area,Yelahanka,Bangalore,West,"Yelahanka, Bangalore",400007,Lodha Group Urban Court,Lodha Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,8d ago,8,12,1 Covered,East,Unfurnished,₹8596 /sqft,"Gymnasium, Garden, Tennis Court, Swimming Pool, Security, Clubhouse, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Yelahanka, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,7,7644000,8281000,8918000,9555000,10192000,10829000,11466000,12103000,12485200,12740000
8,1786023688-8,N/A,Aparna Constructions Central Gardens,"4 BHK Flat in Sarjapur Road, Bangalore",4 BHK Flat,4 BHK,4,4,₹149.6 Lac,N/A,N/A,2028 sqft,Plot Area,Sarjapur Road,Bangalore,North,"Sarjapur Road, Bangalore",400008,Aparna Constructions Central Gardens,Aparna Constructions,Verified Partner,Zero Brokerage,Under Construction,Yes,9d ago,9,13,1 Covered,West,Semi-Furnished,₹7377 /sqft,"Power Backup, Elevator, Garden, Swimming Pool, Jogging Track, Security","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Sarjapur Road, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,8,8976000,9724000,10472000,11220000,11968000,12716000,13464000,14212000,14660800,14960000
9,1786023688-9,N/A,Brigade Group Valley Haven,"5 BHK Flat in Bellandur, Bangalore",5 BHK Villa,5 BHK,5,4,₹197.8 Lac,N/A,N/A,2455 sqft,Carpet Area,Bellandur,Bangalore,West,"Bellandur, Bangalore",400009,Brigade Group Valley Haven,Brigade Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,10d ago,10,14,1 Covered,North,Fully-Furnished,₹8057 /sqft,"Garden, Swimming Pool, Parking, Jogging Track, Security, Power Backup, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Bellandur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,9,11868000,12857000,13846000,14835000,15824000,16813000,17802000,18791000,19384400,19780000
10,1786023688-10,N/A,Puravankara Heights Enclave,"1 BHK Flat in Thanisandra, Bangalore",1 BHK Flat,1 BHK,1,1,₹44.7 Lac,N/A,N/A,655 sqft,Carpet Area,Thanisandra,Bangalore,South,"Thanisandra, Bangalore",400010,Puravankara Heights Enclave,Puravankara,Verified Partner,Zero Brokerage,Under Construction,Yes,11d ago,11,15,1 Covered,West,Unfurnished,₹6824 /sqft,"Garden, Jogging Track, Power Backup, Clubhouse, Swimming Pool, Parking, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Thanisandra, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,10,2682000,2905500,3129000,3352500,3576000,3799500,4023000,4246500,4380600,4470000
